itemname,price,type,count
Arcane Fury,320, Arcane Enhancements,1
Arcane Fury,350, Arcane Enhancements,1
Arcane Fury,400, Arcane Enhancements,10
Arcane Grace,170, Arcane Enhancements,1
Arcane Grace,175, Arcane Enhancements,1
Arcane Grace,180, Arcane Enhancements,26
Arcane Grace,185, Arcane Enhancements,2
Arcane Grace,190, Arcane Enhancements,12
Arcane Grace,195, Arcane Enhancements,7
Arcane Grace,198, Arcane Enhancements,1
Arcane Grace,199, Arcane Enhancements,6
Arcane Grace,200, Arcane Enhancements,51
Arcane Grace,220, Arcane Enhancements,3
Arcane Grace,230, Arcane Enhancements,11
Arcane Grace,240, Arcane Enhancements,2
Arcane Grace,249, Arcane Enhancements,1
Arcane Grace,250, Arcane Enhancements,25
Arcane Grace,270, Arcane Enhancements,10
Arcane Grace,275, Arcane Enhancements,10
Arcane Grace,300, Arcane Enhancements,11
Arcane Guardian,30, Arcane Enhancements,26
Arcane Guardian,35, Arcane Enhancements,3
Arcane Guardian,37, Arcane Enhancements,4
Arcane Guardian,38, Arcane Enhancements,3
Arcane Guardian,39, Arcane Enhancements,1
Arcane Guardian,40, Arcane Enhancements,24
Arcane Guardian,44, Arcane Enhancements,8
Arcane Guardian,45, Arcane Enhancements,24
Arcane Guardian,49, Arcane Enhancements,32
Arcane Guardian,50, Arcane Enhancements,38
Arcane Guardian,55, Arcane Enhancements,11
Arcane Guardian,60, Arcane Enhancements,12
Arcane Guardian,65, Arcane Enhancements,10
Arcane Guardian,80, Arcane Enhancements,10
Arcane Guardian,300, Arcane Enhancements,1
Arcane Guardian,500, Arcane Enhancements,20
Arcane Guardian,800, Arcane Enhancements,10
Arcane Healing,5, Arcane Enhancements,2
Arcane Healing,6, Arcane Enhancements,2
Arcane Healing,7, Arcane Enhancements,1
Arcane Healing,9, Arcane Enhancements,1
Arcane Healing,10, Arcane Enhancements,1
Arcane Healing,15, Arcane Enhancements,1
Arcane Ice,2, Arcane Enhancements,1
Arcane Ice,10, Arcane Enhancements,1
Arcane Ice,13, Arcane Enhancements,2
Arcane Ice,15, Arcane Enhancements,3
Arcane Momentum,12, Arcane Enhancements,1
Arcane Momentum,20, Arcane Enhancements,2
Arcane Momentum,24, Arcane Enhancements,4
Arcane Momentum,25, Arcane Enhancements,1
Arcane Momentum,28, Arcane Enhancements,1
Arcane Momentum,29, Arcane Enhancements,1
Arcane Momentum,30, Arcane Enhancements,1
Arcane Nullifier,10, Arcane Enhancements,6
Arcane Nullifier,11, Arcane Enhancements,1
Arcane Nullifier,14, Arcane Enhancements,1
Arcane Nullifier,15, Arcane Enhancements,5
Arcane Nullifier,19, Arcane Enhancements,2
Arcane Nullifier,20, Arcane Enhancements,5
Arcane Nullifier,24, Arcane Enhancements,1
Arcane Nullifier,25, Arcane Enhancements,4
Arcane Nullifier,30, Arcane Enhancements,2
Arcane Nullifier,39, Arcane Enhancements,2
Arcane Phantasm,20, Arcane Enhancements,1
Arcane Phantasm,30, Arcane Enhancements,13
Arcane Phantasm,35, Arcane Enhancements,4
Arcane Phantasm,39, Arcane Enhancements,1
Arcane Phantasm,40, Arcane Enhancements,18
Arcane Precision,49, Arcane Enhancements,1
Arcane Precision,50, Arcane Enhancements,1
Arcane Precision,59, Arcane Enhancements,2
Arcane Precision,60, Arcane Enhancements,3
Arcane Precision,69, Arcane Enhancements,1
Arcane Precision,70, Arcane Enhancements,6
Arcane Precision,75, Arcane Enhancements,2
Arcane Precision,90, Arcane Enhancements,10
Arcane Precision,95, Arcane Enhancements,3
Arcane Precision,160, Arcane Enhancements,1
Arcane Pulse,1, Arcane Enhancements,6
Arcane Pulse,5, Arcane Enhancements,2
Arcane Pulse,10, Arcane Enhancements,2
Arcane Pulse,15, Arcane Enhancements,11
Arcane Pulse,24, Arcane Enhancements,3
Arcane Pulse,40, Arcane Enhancements,10
Arcane Rage,40, Arcane Enhancements,1
Arcane Rage,45, Arcane Enhancements,2
Arcane Rage,50, Arcane Enhancements,2
Arcane Rage,55, Arcane Enhancements,4
Arcane Rage,59, Arcane Enhancements,1
Arcane Rage,65, Arcane Enhancements,1
Arcane Rage,70, Arcane Enhancements,4
Arcane Rage,75, Arcane Enhancements,1
Arcane Rage,80, Arcane Enhancements,2
Arcane Rage,85, Arcane Enhancements,1
Arcane Resistance,5, Arcane Enhancements,1
Arcane Resistance,8, Arcane Enhancements,10
Arcane Resistance,9, Arcane Enhancements,1
Arcane Resistance,15, Arcane Enhancements,1
Arcane Strike,30, Arcane Enhancements,3
Arcane Strike,35, Arcane Enhancements,9
Arcane Strike,37, Arcane Enhancements,1
Arcane Strike,38, Arcane Enhancements,20
Arcane Strike,39, Arcane Enhancements,11
Arcane Strike,40, Arcane Enhancements,43
Arcane Strike,44, Arcane Enhancements,1
Arcane Strike,45, Arcane Enhancements,28
Arcane Strike,48, Arcane Enhancements,3
Arcane Strike,49, Arcane Enhancements,8
Arcane Strike,50, Arcane Enhancements,30
Arcane Strike,55, Arcane Enhancements,8
Arcane Strike,60, Arcane Enhancements,3
Arcane Strike,70, Arcane Enhancements,11
Arcane Strike,75, Arcane Enhancements,2
Arcane Tempo,15, Arcane Enhancements,1
Arcane Tempo,20, Arcane Enhancements,1
Arcane Tempo,25, Arcane Enhancements,1
Arcane Tempo,29, Arcane Enhancements,3
Arcane Tempo,30, Arcane Enhancements,3
Arcane Tempo,50, Arcane Enhancements,10
Arcane Trickery,20, Arcane Enhancements,1
Arcane Trickery,30, Arcane Enhancements,1
Arcane Trickery,35, Arcane Enhancements,2
Arcane Trickery,40, Arcane Enhancements,32
Arcane Trickery,42, Arcane Enhancements,1
Arcane Trickery,45, Arcane Enhancements,31
Arcane Trickery,48, Arcane Enhancements,1
Arcane Trickery,49, Arcane Enhancements,5
Arcane Trickery,50, Arcane Enhancements,62
Arcane Trickery,55, Arcane Enhancements,34
Arcane Trickery,59, Arcane Enhancements,9
Arcane Trickery,60, Arcane Enhancements,40
Arcane Trickery,65, Arcane Enhancements,35
Arcane Trickery,68, Arcane Enhancements,6
Arcane Trickery,69, Arcane Enhancements,3
Arcane Trickery,70, Arcane Enhancements,8
Arcane Trickery,75, Arcane Enhancements,6
Arcane Trickery,79, Arcane Enhancements,1
Arcane Trickery,80, Arcane Enhancements,4
Arcane Trickery,95, Arcane Enhancements,1
Arcane Trickery,100, Arcane Enhancements,16
Arcane Trickery,150, Arcane Enhancements,4
Arcane Trickery,400, Arcane Enhancements,1
Arcane Ultimatum,45, Arcane Enhancements,1
Arcane Ultimatum,49, Arcane Enhancements,4
Arcane Ultimatum,50, Arcane Enhancements,5
Arcane Ultimatum,55, Arcane Enhancements,2
Arcane Ultimatum,59, Arcane Enhancements,1
Arcane Ultimatum,60, Arcane Enhancements,3
Arcane Ultimatum,65, Arcane Enhancements,1
Arcane Ultimatum,70, Arcane Enhancements,12
Arcane Ultimatum,75, Arcane Enhancements,6
Arcane Velocity,20, Arcane Enhancements,1
Arcane Velocity,24, Arcane Enhancements,2
Arcane Velocity,25, Arcane Enhancements,2
Arcane Velocity,29, Arcane Enhancements,1
Arcane Velocity,30, Arcane Enhancements,2
Arcane Velocity,35, Arcane Enhancements,1
Arcane Velocity,39, Arcane Enhancements,1
Arcane Velocity,40, Arcane Enhancements,1
Arcane Victory,20, Arcane Enhancements,1
Arcane Victory,25, Arcane Enhancements,5
Arcane Victory,29, Arcane Enhancements,1
Arcane Victory,30, Arcane Enhancements,15
Arcane Victory,32, Arcane Enhancements,1
Arcane Victory,34, Arcane Enhancements,1
Arcane Victory,35, Arcane Enhancements,38
Arcane Victory,40, Arcane Enhancements,13
Arcane Victory,43, Arcane Enhancements,1
Arcane Victory,45, Arcane Enhancements,12
Arcane Victory,48, Arcane Enhancements,3
Arcane Victory,50, Arcane Enhancements,6
Arcane Victory,70, Arcane Enhancements,10
Arcane Warmth,10, Arcane Enhancements,2
Arcane Warmth,20, Arcane Enhancements,3
Argon Plating,3, Mod,1
Argon Plating,4, Mod,2
Argon Plating,10, Mod,10
Argon Scope,139, Mod,1
Argon Scope,200, Mod,1
Argon Scope,250, Mod,1
Argon Scope,270, Mod,4
Argon Scope,300, Mod,6
Argon Scope,315, Mod,1
Argon Scope,320, Mod,1
Argon Scope,325, Mod,1
Argon Scope,330, Mod,1
Argon Scope,340, Mod,6
Argon Scope,349, Mod,1
Argon Scope,350, Mod,26
Argon Scope,355, Mod,1
Argon Scope,360, Mod,9
Argon Scope,365, Mod,4
Argon Scope,369, Mod,4
Argon Scope,370, Mod,4
Argon Scope,375, Mod,5
Argon Scope,380, Mod,3
Argon Scope,385, Mod,3
Argon Scope,387, Mod,1
Argon Scope,389, Mod,2
Argon Scope,390, Mod,7
Argon Scope,395, Mod,2
Argon Scope,398, Mod,2
Argon Scope,399, Mod,2
Argon Scope,400, Mod,12
Argon Scope,500, Mod,7
Argon Scope,550, Mod,1
Argon Scope,600, Mod,1
Argon Scope,750, Mod,2
Argon Scope,800, Mod,1
Armored Acrobatics,12, Mod,1000
Armored Agility,5, Mod,4
Armored Agility,7, Mod,1
Armored Agility,8, Mod,1
Armored Agility,9, Mod,7
Armored Agility,10, Mod,15
Armored Agility,11, Mod,2
Armored Agility,12, Mod,5
Armored Agility,13, Mod,1
Armored Agility,14, Mod,3
Armored Agility,15, Mod,9
Armored Agility,20, Mod,5
Armored Agility,25, Mod,4
Armored Agility,30, Mod,2
Armored Agility,35, Mod,1
Armored Agility,39, Mod,1
Armored Agility,40, Mod,1
Armored Agility,50, Mod,1
Armored Evade,12, Mod,1000
Arrow Mutation,1, Mod,1
Arrow Mutation,3, Mod,47
Arrow Mutation,4, Mod,1
Arrow Mutation,5, Mod,1
Arrow Mutation,8, Mod,1
Arrow Mutation,9, Mod,7
Arrow Mutation,10, Mod,1
Ash Prime Blueprint,100, Blueprint,1
Ash Prime Blueprint,105, Blueprint,1
Ash Prime Blueprint,106, Blueprint,1
Ash Prime Blueprint,110, Blueprint,9
Ash Prime Blueprint,113, Blueprint,1
Ash Prime Blueprint,115, Blueprint,8
Ash Prime Blueprint,116, Blueprint,1
Ash Prime Blueprint,120, Blueprint,23
Ash Prime Blueprint,123, Blueprint,1
Ash Prime Blueprint,124, Blueprint,3
Ash Prime Blueprint,125, Blueprint,10
Ash Prime Blueprint,128, Blueprint,1
Ash Prime Blueprint,129, Blueprint,1
Ash Prime Blueprint,130, Blueprint,13
Ash Prime Blueprint,132, Blueprint,1
Ash Prime Blueprint,135, Blueprint,6
Ash Prime Blueprint,139, Blueprint,1
Ash Prime Blueprint,140, Blueprint,16
Ash Prime Blueprint,145, Blueprint,9
Ash Prime Blueprint,148, Blueprint,1
Ash Prime Blueprint,149, Blueprint,1
Ash Prime Blueprint,150, Blueprint,17
Ash Prime Blueprint,155, Blueprint,3
Ash Prime Blueprint,159, Blueprint,1
Ash Prime Blueprint,160, Blueprint,7
Ash Prime Blueprint,165, Blueprint,1
Ash Prime Blueprint,170, Blueprint,2
Ash Prime Blueprint,175, Blueprint,1
Ash Prime Blueprint,180, Blueprint,4
Ash Prime Blueprint,190, Blueprint,2
Ash Prime Blueprint,200, Blueprint,1
Ash Prime Blueprint,250, Blueprint,1
Ash Prime Chassis,1, Blueprint,15
Ash Prime Chassis,2, Blueprint,2
Ash Prime Chassis,3, Blueprint,27
Ash Prime Chassis,4, Blueprint,60
Ash Prime Chassis,5, Blueprint,47
Ash Prime Chassis,6, Blueprint,1
Ash Prime Chassis,7, Blueprint,1
Ash Prime Chassis,8, Blueprint,2
Ash Prime Chassis,10, Blueprint,17
Ash Prime Chassis,12, Blueprint,1
Ash Prime Chassis,15, Blueprint,2
Ash Prime Chassis,20, Blueprint,1
Ash Prime Chassis,30, Blueprint,1
Ash Prime Chassis,40, Blueprint,8
Ash Prime Helmet,5, Blueprint,1
Ash Prime Helmet,8, Blueprint,5
Ash Prime Helmet,9, Blueprint,2
Ash Prime Helmet,10, Blueprint,53
Ash Prime Helmet,11, Blueprint,1
Ash Prime Helmet,12, Blueprint,22
Ash Prime Helmet,13, Blueprint,30
Ash Prime Helmet,14, Blueprint,25
Ash Prime Helmet,15, Blueprint,76
Ash Prime Helmet,16, Blueprint,3
Ash Prime Helmet,17, Blueprint,4
Ash Prime Helmet,19, Blueprint,5
Ash Prime Helmet,20, Blueprint,19
Ash Prime Helmet,30, Blueprint,1
Ash Prime Helmet,50, Blueprint,1
Ash Prime Set,180, Set,2
Ash Prime Set,195, Set,1
Ash Prime Set,199, Set,2
Ash Prime Set,200, Set,24
Ash Prime Set,205, Set,5
Ash Prime Set,207, Set,1
Ash Prime Set,208, Set,1
Ash Prime Set,209, Set,4
Ash Prime Set,210, Set,28
Ash Prime Set,215, Set,8
Ash Prime Set,219, Set,4
Ash Prime Set,220, Set,24
Ash Prime Set,224, Set,1
Ash Prime Set,225, Set,11
Ash Prime Set,230, Set,12
Ash Prime Set,235, Set,8
Ash Prime Set,239, Set,1
Ash Prime Set,240, Set,10
Ash Prime Set,245, Set,1
Ash Prime Set,250, Set,14
Ash Prime Set,260, Set,3
Ash Prime Set,275, Set,1
Ash Prime Set,280, Set,1
Ash Prime Set,285, Set,2
Ash Prime Set,295, Set,2
Ash Prime Set,300, Set,2
Ash Prime Set,450, Set,1
Ash Prime Systems,20, Blueprint,1
Ash Prime Systems,30, Blueprint,4
Ash Prime Systems,35, Blueprint,2
Ash Prime Systems,37, Blueprint,1
Ash Prime Systems,38, Blueprint,4
Ash Prime Systems,40, Blueprint,23
Ash Prime Systems,43, Blueprint,1
Ash Prime Systems,45, Blueprint,25
Ash Prime Systems,48, Blueprint,2
Ash Prime Systems,49, Blueprint,10
Ash Prime Systems,50, Blueprint,41
Ash Prime Systems,54, Blueprint,1
Ash Prime Systems,55, Blueprint,8
Ash Prime Systems,56, Blueprint,1
Ash Prime Systems,58, Blueprint,1
Ash Prime Systems,59, Blueprint,1
Ash Prime Systems,60, Blueprint,17
Ash Prime Systems,64, Blueprint,1
Ash Prime Systems,65, Blueprint,3
Ash Prime Systems,69, Blueprint,1
Ash Prime Systems,70, Blueprint,4
Ash Prime Systems,75, Blueprint,1
Ash Prime Systems,100, Blueprint,1
Astral Twilight,25, Mod,1
Astral Twilight,30, Mod,2
Astral Twilight,35, Mod,11
Astral Twilight,36, Mod,1
Astral Twilight,40, Mod,12
Astral Twilight,45, Mod,12
Astral Twilight,48, Mod,3
Astral Twilight,49, Mod,1
Astral Twilight,50, Mod,9
Astral Twilight,55, Mod,2
Astral Twilight,56, Mod,2
Astral Twilight,60, Mod,8
Astral Twilight,65, Mod,1
Astral Twilight,70, Mod,3
Astral Twilight,75, Mod,2
Astral Twilight,80, Mod,2
Astral Twilight,83, Mod,1
Astral Twilight,85, Mod,4
Astral Twilight,90, Mod,3
Astral Twilight,95, Mod,1
Astral Twilight,99, Mod,1
Astral Twilight,100, Mod,10
Astral Twilight,110, Mod,1
Astral Twilight,115, Mod,1
Astral Twilight,120, Mod,1
Astral Twilight,150, Mod,4
Astral Twilight,170, Mod,1
Astral Twilight,200, Mod,2
Atlantis Vulcan,15, Mod,6
Atlantis Vulcan,19, Mod,3
Atlantis Vulcan,20, Mod,11
Atlantis Vulcan,25, Mod,1
Atlantis Vulcan,35, Mod,1
Atlantis Vulcan,49, Mod,1
Atlantis Vulcan,50, Mod,1
Auger Strike,69, Mod,1
Auger Strike,97, Mod,1
Auger Strike,100, Mod,7
Auger Strike,105, Mod,1
Auger Strike,107, Mod,1
Auger Strike,110, Mod,6
Auger Strike,120, Mod,1
Auger Strike,125, Mod,7
Auger Strike,129, Mod,1
Auger Strike,130, Mod,1
Auger Strike,150, Mod,4
Auger Strike,200, Mod,2
Auger Strike,250, Mod,1
Aura Trinity Helmet,100, Arcane Helmet,1
Aura Trinity Helmet,150, Arcane Helmet,1
Aura Trinity Helmet,175, Arcane Helmet,1
Aura Trinity Helmet,250, Arcane Helmet,3
Aura Trinity Helmet,280, Arcane Helmet,2
Aura Trinity Helmet,290, Arcane Helmet,2
Aura Trinity Helmet,295, Arcane Helmet,1
Aura Trinity Helmet,300, Arcane Helmet,8
Aura Trinity Helmet,325, Arcane Helmet,1
Aura Trinity Helmet,340, Arcane Helmet,2
Aura Trinity Helmet,350, Arcane Helmet,3
Aura Trinity Helmet,360, Arcane Helmet,1
Aura Trinity Helmet,370, Arcane Helmet,1
Aura Trinity Helmet,375, Arcane Helmet,1
Aura Trinity Helmet,380, Arcane Helmet,2
Aura Trinity Helmet,400, Arcane Helmet,2
Aura Trinity Helmet,1000, Arcane Helmet,1
Aurora Frost Helmet,30, Arcane Helmet,1
Aurora Frost Helmet,70, Arcane Helmet,1
Aurora Frost Helmet,75, Arcane Helmet,1
Aurora Frost Helmet,80, Arcane Helmet,1
Aurora Frost Helmet,85, Arcane Helmet,2
Aurora Frost Helmet,90, Arcane Helmet,1
Aurora Frost Helmet,99, Arcane Helmet,1
Aurora Frost Helmet,100, Arcane Helmet,2
Aurora Frost Helmet,120, Arcane Helmet,1
Aurora Frost Helmet,130, Arcane Helmet,2
Aurora Frost Helmet,140, Arcane Helmet,1
Aurora Frost Helmet,145, Arcane Helmet,1
Aurora Frost Helmet,149, Arcane Helmet,1
Aurora Frost Helmet,150, Arcane Helmet,8
Aurora Frost Helmet,180, Arcane Helmet,1
Aurora Frost Helmet,190, Arcane Helmet,1
